	Systematic.name	cluster	cluster.size
Ribosome hibernation protein YhbH	Ribosome hibernation protein YhbH	1	372
S-adenosylmethionine:tRNA ribosyltransferase-isomerase (EC 5.-.-.-)	S-adenosylmethionine:tRNA ribosyltransferase-isomerase (EC 5.-.-.-)	1	372
Shikimate 5-dehydrogenase I alpha (EC 1.1.1.25)	Shikimate 5-dehydrogenase I alpha (EC 1.1.1.25)	1	372
Shikimate kinase I (EC 2.7.1.71)	Shikimate kinase I (EC 2.7.1.71)	1	372
Succinate dehydrogenase cytochrome b subunit	Succinate dehydrogenase cytochrome b subunit	1	372
Succinate dehydrogenase flavoprotein subunit (EC 1.3.99.1)	Succinate dehydrogenase flavoprotein subunit (EC 1.3.99.1)	1	372
Succinate dehydrogenase iron-sulfur protein (EC 1.3.99.1)	Succinate dehydrogenase iron-sulfur protein (EC 1.3.99.1)	1	372
Tetraacyldisaccharide 4'-kinase (EC 2.7.1.130)	Tetraacyldisaccharide 4'-kinase (EC 2.7.1.130)	1	372
Thiamin-phosphate pyrophosphorylase (EC 2.5.1.3)	Thiamin-phosphate pyrophosphorylase (EC 2.5.1.3)	1	372
Thiamine-monophosphate kinase (EC 2.7.4.16)	Thiamine-monophosphate kinase (EC 2.7.4.16)	1	372
TonB-dependent receptor	TonB-dependent receptor	1	372
Trk system potassium uptake protein TrkA	Trk system potassium uptake protein TrkA	1	372
tRNA-guanine transglycosylase (EC 2.4.2.29)	tRNA-guanine transglycosylase (EC 2.4.2.29)	1	372
tRNA-i(6)A37 methylthiotransferase	tRNA-i(6)A37 methylthiotransferase	1	372
UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase (EC 2.3.1.-)	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase (EC 2.3.1.-)	1	372
UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13)	UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13)	1	372
Alpha-amylase (EC 3.2.1.1)	Alpha-amylase (EC 3.2.1.1)	1	372
Argininosuccinate lyase (EC 4.3.2.1)	Argininosuccinate lyase (EC 4.3.2.1)	1	372
Glutamine amidotransferase chain of NAD synthetase	Glutamine amidotransferase chain of NAD synthetase	1	372
MoxR-like ATPase in aerotolerance operon	MoxR-like ATPase in aerotolerance operon	1	372
Peptidase M48, Ste24p precursor	Peptidase M48, Ste24p precursor	1	372
Pyruvate formate-lyase (EC 2.3.1.54)	Pyruvate formate-lyase (EC 2.3.1.54)	1	372
Pyruvate formate-lyase activating enzyme (EC 1.97.1.4)	Pyruvate formate-lyase activating enzyme (EC 1.97.1.4)	1	372
Queuosine biosynthesis QueD, PTPS-I	Queuosine biosynthesis QueD, PTPS-I	1	372
Ribonucleotide reductase of class Ia (aerobic), beta subunit (EC 1.17.4.1)	Ribonucleotide reductase of class Ia (aerobic), beta subunit (EC 1.17.4.1)	1	372
Signal peptidase-like protein	Signal peptidase-like protein	1	372
Sirohydrochlorin cobaltochelatase CbiK (EC 4.99.1.3)	Sirohydrochlorin cobaltochelatase CbiK (EC 4.99.1.3)	1	372
4-alpha-glucanotransferase (amylomaltase) (EC 2.4.1.25)	4-alpha-glucanotransferase (amylomaltase) (EC 2.4.1.25)	1	372
ABC-type multidrug transport system, ATPase component	ABC-type multidrug transport system, ATPase component	1	372
Alkaline phosphatase synthesis transcriptional regulatory protein PhoP	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP	1	372
Ammonium transporter	Ammonium transporter	1	372
Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr, subfamily A1 (as in PMID19099556)	Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr, subfamily A1 (as in PMID19099556)	1	372
Deoxycytidine triphosphate deaminase (EC 3.5.4.13)	Deoxycytidine triphosphate deaminase (EC 3.5.4.13)	1	372
Dihydroorotate dehydrogenase (EC 1.3.3.1)	Dihydroorotate dehydrogenase (EC 1.3.3.1)	1	372
Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6)	Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6)	1	372
Polyphosphate glucokinase (EC 2.7.1.63)	Polyphosphate glucokinase (EC 2.7.1.63)	1	372
Protein often found in Actinomycetes clustered with signal peptidase and/or RNaseHII	Protein often found in Actinomycetes clustered with signal peptidase and/or RNaseHII	1	372
Putative permease often clustered with de novo purine synthesis	Putative permease often clustered with de novo purine synthesis	1	372
Replicative DNA helicase (EC 3.6.1.-)	Replicative DNA helicase (EC 3.6.1.-)	1	372
Transketolase (EC 2.2.1.1)	Transketolase (EC 2.2.1.1)	1	372
Dipeptidyl peptidase IV in 4-hydroxyproline catabolic gene cluster	Dipeptidyl peptidase IV in 4-hydroxyproline catabolic gene cluster	1	372
Fumarylacetoacetate hydrolase family protein	Fumarylacetoacetate hydrolase family protein	1	372
NADH ubiquinone oxidoreductase chain A (EC 1.6.5.3)	NADH ubiquinone oxidoreductase chain A (EC 1.6.5.3)	1	372
Sodium-dependent phosphate transporter	Sodium-dependent phosphate transporter	1	372
Thiamin-regulated outer membrane receptor Omr1	Thiamin-regulated outer membrane receptor Omr1	1	372
UDP-glucose dehydrogenase (EC 1.1.1.22)	UDP-glucose dehydrogenase (EC 1.1.1.22)	1	372
Dihydropteroate synthase (EC 2.5.1.15)	Dihydropteroate synthase (EC 2.5.1.15)	2	3
GTP cyclohydrolase I (EC 3.5.4.16) type 1	GTP cyclohydrolase I (EC 3.5.4.16) type 1	2	3
Ribosome-associated heat shock protein implicated in the recycling of the 50S subunit (S4 paralog)	Ribosome-associated heat shock protein implicated in the recycling of the 50S subunit (S4 paralog)	1	372
C4-type zinc finger protein, DksA/TraR family	C4-type zinc finger protein, DksA/TraR family	1	372
Chaperone protein HtpG	Chaperone protein HtpG	1	372
DNA recombination protein RmuC	DNA recombination protein RmuC	1	372
DNA-binding protein HU	DNA-binding protein HU	1	372
Ferric siderophore transport system, periplasmic binding protein TonB	Ferric siderophore transport system, periplasmic binding protein TonB	1	372
L-aspartate oxidase (EC 1.4.3.16)	L-aspartate oxidase (EC 1.4.3.16)	1	372
Outer membrane protein assembly factor YaeT precursor	Outer membrane protein assembly factor YaeT precursor	1	372
Pseudouridine 5'-phosphate glycosidase	Pseudouridine 5'-phosphate glycosidase	1	372
Sulfur carrier protein ThiS	Sulfur carrier protein ThiS	1	372
COG0613, Predicted metal-dependent phosphoesterases (PHP family)	COG0613, Predicted metal-dependent phosphoesterases (PHP family)	1	372
Formiminotetrahydrofolate cyclodeaminase (EC 4.3.1.4)	Formiminotetrahydrofolate cyclodeaminase (EC 4.3.1.4)	1	372
Hydroxyethylthiazole kinase (EC 2.7.1.50)	Hydroxyethylthiazole kinase (EC 2.7.1.50)	1	372
Ribonuclease PH (EC 2.7.7.56)	Ribonuclease PH (EC 2.7.7.56)	1	372
Ribosomal RNA small subunit methyltransferase E (EC 2.1.1.-)	Ribosomal RNA small subunit methyltransferase E (EC 2.1.1.-)	1	372
Twin-arginine translocation protein TatA	Twin-arginine translocation protein TatA	1	372
Amidophosphoribosyltransferase (EC 2.4.2.14)	Amidophosphoribosyltransferase (EC 2.4.2.14)	1	372
Phosphoribosylformylglycinamidine synthase, glutamine amidotransferase subunit (EC 6.3.5.3)	Phosphoribosylformylglycinamidine synthase, glutamine amidotransferase subunit (EC 6.3.5.3)	1	372
Ribosomal RNA large subunit methyltransferase N (EC 2.1.1.-)	Ribosomal RNA large subunit methyltransferase N (EC 2.1.1.-)	1	372
5-Enolpyruvylshikimate-3-phosphate synthase (EC 2.5.1.19)	5-Enolpyruvylshikimate-3-phosphate synthase (EC 2.5.1.19)	1	372
Colicin I receptor precursor	Colicin I receptor precursor	1	372
Cytoplasmic axial filament protein CafA and Ribonuclease G (EC 3.1.4.-)	Cytoplasmic axial filament protein CafA and Ribonuclease G (EC 3.1.4.-)	1	372
DNA-binding protein HU-beta	DNA-binding protein HU-beta	1	372
Flavodoxin 1	Flavodoxin 1	1	372
Glutathione peroxidase (EC 1.11.1.9)	Glutathione peroxidase (EC 1.11.1.9)	1	372
Inorganic pyrophosphatase (EC 3.6.1.1)	Inorganic pyrophosphatase (EC 3.6.1.1)	1	372
L-serine dehydratase (EC 4.3.1.17)	L-serine dehydratase (EC 4.3.1.17)	1	372
Leucine-responsive regulatory protein, regulator for leucine (or lrp) regulon and high-affinity branched-chain amino acid transport system	Leucine-responsive regulatory protein, regulator for leucine (or lrp) regulon and high-affinity branched-chain amino acid transport system	1	372
Methylmalonyl-CoA decarboxylase, alpha chain (EC 4.1.1.41)	Methylmalonyl-CoA decarboxylase, alpha chain (EC 4.1.1.41)	1	372
Outer membrane stress sensor protease DegS	Outer membrane stress sensor protease DegS	1	372
Pseudouridine kinase (EC 2.7.1.83)	Pseudouridine kinase (EC 2.7.1.83)	1	372
Pyrophosphate--fructose 6-phosphate 1-phosphotransferase, beta subunit (EC 2.7.1.90)	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase, beta subunit (EC 2.7.1.90)	1	372
Queuosine Biosynthesis QueC ATPase	Queuosine Biosynthesis QueC ATPase	1	372
Monofunctional biosynthetic peptidoglycan transglycosylase (EC 2.4.2.-)	Monofunctional biosynthetic peptidoglycan transglycosylase (EC 2.4.2.-)	1	372
NADH-ubiquinone oxidoreductase chain M (EC 1.6.5.3)	NADH-ubiquinone oxidoreductase chain M (EC 1.6.5.3)	1	372
3-dehydroquinate synthase (EC 4.2.3.4)	3-dehydroquinate synthase (EC 4.2.3.4)	1	372
3-deoxy-manno-octulosonate cytidylyltransferase (EC 2.7.7.38)	3-deoxy-manno-octulosonate cytidylyltransferase (EC 2.7.7.38)	1	372
3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.41)	3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.41)	1	372
Agmatine deiminase (EC 3.5.3.12)	Agmatine deiminase (EC 3.5.3.12)	1	372
Capsular polysaccharide export system protein KpsF	Capsular polysaccharide export system protein KpsF	1	372
Dipeptidyl carboxypeptidase Dcp (EC 3.4.15.5)	Dipeptidyl carboxypeptidase Dcp (EC 3.4.15.5)	1	372
Ferric siderophore transport system, biopolymer transport protein ExbB	Ferric siderophore transport system, biopolymer transport protein ExbB	1	372
fig|295405.3.peg.746	fig|295405.3.peg.746	1	372
Isochorismate synthase (EC 5.4.4.2)	Isochorismate synthase (EC 5.4.4.2)	1	372
L-threonine 3-dehydrogenase (EC 1.1.1.103)	L-threonine 3-dehydrogenase (EC 1.1.1.103)	1	372
N-carbamoylputrescine amidase (3.5.1.53)	N-carbamoylputrescine amidase (3.5.1.53)	1	372
NADH-ubiquinone oxidoreductase chain J (EC 1.6.5.3)	NADH-ubiquinone oxidoreductase chain J (EC 1.6.5.3)	1	372
Putative activity regulator of membrane protease YbbK	Putative activity regulator of membrane protease YbbK	1	372
Pyridoxine biosynthesis glutamine amidotransferase, glutaminase subunit (EC 2.4.2.-)	Pyridoxine biosynthesis glutamine amidotransferase, glutaminase subunit (EC 2.4.2.-)	1	372
Radical SAM family protein HutW, similar to coproporphyrinogen III oxidase, oxygen-independent, associated with heme uptake	Radical SAM family protein HutW, similar to coproporphyrinogen III oxidase, oxygen-independent, associated with heme uptake	1	372
rhamnogalacturonan acetylesterase	rhamnogalacturonan acetylesterase	1	372
Spermidine synthase (EC 2.5.1.16)	Spermidine synthase (EC 2.5.1.16)	1	372
Superoxide reductase (EC 1.15.1.2)	Superoxide reductase (EC 1.15.1.2)	1	372
Survival protein SurA precursor (Peptidyl-prolyl cis-trans isomerase SurA) (EC 5.2.1.8)	Survival protein SurA precursor (Peptidyl-prolyl cis-trans isomerase SurA) (EC 5.2.1.8)	1	372
Thiol peroxidase, Bcp-type (EC 1.11.1.15)	Thiol peroxidase, Bcp-type (EC 1.11.1.15)	1	372
Thiol:disulfide oxidoreductase related to ResA	Thiol:disulfide oxidoreductase related to ResA	1	372
Putrescine/proton symporter, putrescine/ornithine antiporter PotE	Putrescine/proton symporter, putrescine/ornithine antiporter PotE	1	372
Benzoyl-CoA reductase subunit BadG (EC 1.3.99.15)	Benzoyl-CoA reductase subunit BadG (EC 1.3.99.15)	1	372
Crossover junction endodeoxyribonuclease RuvC (EC 3.1.22.4)	Crossover junction endodeoxyribonuclease RuvC (EC 3.1.22.4)	1	372
Glycerol-3-phosphate dehydrogenase (EC 1.1.5.3)	Glycerol-3-phosphate dehydrogenase (EC 1.1.5.3)	1	372
Hydroxyacylglutathione hydrolase (EC 3.1.2.6)	Hydroxyacylglutathione hydrolase (EC 3.1.2.6)	1	372
MiaB family protein, possibly involved in tRNA or rRNA modification	MiaB family protein, possibly involved in tRNA or rRNA modification	1	372
Lipid-A-disaccharide synthase (EC 2.4.1.182)	Lipid-A-disaccharide synthase (EC 2.4.1.182)	1	372
Chorismate mutase I (EC 5.4.99.5)	Chorismate mutase I (EC 5.4.99.5)	1	372
Radical SAM domain heme biosynthesis protein	Radical SAM domain heme biosynthesis protein	1	372
rubredoxin-oxygen oxidoreductase	rubredoxin-oxygen oxidoreductase	1	372
SusD, outer membrane protein	SusD, outer membrane protein	1	372
Biosynthetic arginine decarboxylase (EC 4.1.1.19)	Biosynthetic arginine decarboxylase (EC 4.1.1.19)	1	372
Cytochrome c-type biogenesis protein DsbD, protein-disulfide reductase (EC 1.8.1.8)	Cytochrome c-type biogenesis protein DsbD, protein-disulfide reductase (EC 1.8.1.8)	1	372
NADH-ubiquinone oxidoreductase chain I (EC 1.6.5.3)	NADH-ubiquinone oxidoreductase chain I (EC 1.6.5.3)	1	372
Quinolinate synthetase (EC 2.5.1.72)	Quinolinate synthetase (EC 2.5.1.72)	1	372
4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262)	4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262)	1	372
Lipoprotein releasing system ATP-binding protein LolD	Lipoprotein releasing system ATP-binding protein LolD	1	372
MotA/TolQ/ExbB proton channel family protein	MotA/TolQ/ExbB proton channel family protein	1	372
FIG019733: possible DNA-binding protein	FIG019733: possible DNA-binding protein	1	372
Magnesium and cobalt efflux protein CorC	Magnesium and cobalt efflux protein CorC	1	372
Aspartyl-tRNA(Asn) synthetase (EC 6.1.1.23)	Aspartyl-tRNA(Asn) synthetase (EC 6.1.1.23)	1	372
BatB	BatB	1	372
Benzoyl-CoA reductase subunit BadD (EC 1.3.99.15)	Benzoyl-CoA reductase subunit BadD (EC 1.3.99.15)	1	372
Glycyl-tRNA synthetase (EC 6.1.1.14)	Glycyl-tRNA synthetase (EC 6.1.1.14)	1	372
Thiazole biosynthesis protein ThiG	Thiazole biosynthesis protein ThiG	1	372
Xaa-Pro aminopeptidase (EC 3.4.11.9)	Xaa-Pro aminopeptidase (EC 3.4.11.9)	1	372
Arginine pathway regulatory protein ArgR, repressor of arg regulon	Arginine pathway regulatory protein ArgR, repressor of arg regulon	1	372
Ferric iron ABC transporter, iron-binding protein	Ferric iron ABC transporter, iron-binding protein	1	372
Gamma-glutamyl phosphate reductase (EC 1.2.1.41)	Gamma-glutamyl phosphate reductase (EC 1.2.1.41)	1	372
Na(+)-translocating NADH-quinone reductase subunit A (EC 1.6.5.-)	Na(+)-translocating NADH-quinone reductase subunit A (EC 1.6.5.-)	1	372
Uroporphyrinogen-III synthase (EC 4.2.1.75)	Uroporphyrinogen-III synthase (EC 4.2.1.75)	1	372
Chromate transport protein ChrA	Chromate transport protein ChrA	1	372
Cobalamin biosynthesis protein CbiG	Cobalamin biosynthesis protein CbiG	1	372
Hypothetical protein DUF901, similar to C-terminal domain of ribosome protection-type Tc-resistance proteins	Hypothetical protein DUF901, similar to C-terminal domain of ribosome protection-type Tc-resistance proteins	1	372
Hypothetical radical SAM family enzyme, NOT coproporphyrinogen III oxidase, oxygen-independent	Hypothetical radical SAM family enzyme, NOT coproporphyrinogen III oxidase, oxygen-independent	1	372
Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1)	Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1)	1	372
Pyruvate carboxyl transferase subunit B (EC 6.4.1.1)	Pyruvate carboxyl transferase subunit B (EC 6.4.1.1)	1	372
Soluble lytic murein transglycosylase precursor (EC 3.2.1.-)	Soluble lytic murein transglycosylase precursor (EC 3.2.1.-)	1	372
6-phospho-beta-glucosidase (EC 3.2.1.86)	6-phospho-beta-glucosidase (EC 3.2.1.86)	3	31
Beta-glucoside bgl operon antiterminator, BglG family	Beta-glucoside bgl operon antiterminator, BglG family	3	31
Hypothetical similar to thiamin biosynthesis lipoprotein ApbE	Hypothetical similar to thiamin biosynthesis lipoprotein ApbE	3	31
Lactate 2-monooxygenase (EC 1.13.12.4)	Lactate 2-monooxygenase (EC 1.13.12.4)	3	31
Lysophospholipase L2 (EC 3.1.1.5)	Lysophospholipase L2 (EC 3.1.1.5)	3	31
MFS superfamily export protein YceL	MFS superfamily export protein YceL	3	31
Outer surface protein of unknown function, cellobiose operon	Outer surface protein of unknown function, cellobiose operon	3	31
Penicillin-binding protein 1A/1B (PBP1)	Penicillin-binding protein 1A/1B (PBP1)	3	31
Phosphonate ABC transporter permease protein phnE1 (TC 3.A.1.9.1)	Phosphonate ABC transporter permease protein phnE1 (TC 3.A.1.9.1)	3	31
Phosphonate ABC transporter permease protein phnE2 (TC 3.A.1.9.1)	Phosphonate ABC transporter permease protein phnE2 (TC 3.A.1.9.1)	3	31
Phosphonate ABC transporter phosphate-binding periplasmic component (TC 3.A.1.9.1)	Phosphonate ABC transporter phosphate-binding periplasmic component (TC 3.A.1.9.1)	3	31
Programmed cell death toxin MazF	Programmed cell death toxin MazF	3	31
Pyruvate oxidase (EC 1.2.3.3)	Pyruvate oxidase (EC 1.2.3.3)	3	31
Regulation of D-alanyl-lipoteichoic acid biosynthesis, DltR	Regulation of D-alanyl-lipoteichoic acid biosynthesis, DltR	3	31
Regulation of D-alanyl-lipoteichoic acid biosynthesis, sensor histidine kinase	Regulation of D-alanyl-lipoteichoic acid biosynthesis, sensor histidine kinase	3	31
Septation ring formation regulator EzrA	Septation ring formation regulator EzrA	3	31
