	Systematic.name	cluster	cluster.size
gi|319430703|ref|NZ_GL622333.1|:c726858-725746	gi|319430703|ref|NZ_GL622333.1|:c726858-725746	1	535
gi|319430703|ref|NZ_GL622333.1|:c1057235-1055931	gi|319430703|ref|NZ_GL622333.1|:c1057235-1055931	1	535
gi|312873668|ref|NZ_AEKI01000012.1|:7262-8317	gi|312873668|ref|NZ_AEKI01000012.1|:7262-8317	1	535
gi|319430703|ref|NZ_GL622333.1|:c1054004-1053066	gi|319430703|ref|NZ_GL622333.1|:c1054004-1053066	1	535
gi|309804140|ref|NZ_AEHN01000022.1|:42171-43100	gi|309804140|ref|NZ_AEHN01000022.1|:42171-43100	1	535
gi|319430703|ref|NZ_GL622333.1|:378195-379022	gi|319430703|ref|NZ_GL622333.1|:378195-379022	1	535
LINAB1_0554|LINAB1_0554|integrase/recombinase	LINAB1_0554|LINAB1_0554|integrase/recombinase	1	535
gi|319430703|ref|NZ_GL622333.1|:359979-361643	gi|319430703|ref|NZ_GL622333.1|:359979-361643	1	535
gi|319430703|ref|NZ_GL622333.1|:501796-502071	gi|319430703|ref|NZ_GL622333.1|:501796-502071	1	535
gi|309808726|ref|NZ_AEHQ01000082.1|:c6338-4359	gi|309808726|ref|NZ_AEHQ01000082.1|:c6338-4359	1	535
gi|319430703|ref|NZ_GL622333.1|:c1054439-1054050	gi|319430703|ref|NZ_GL622333.1|:c1054439-1054050	1	535
gi|319430703|ref|NZ_GL622333.1|:c758175-757675	gi|319430703|ref|NZ_GL622333.1|:c758175-757675	1	535
gi|259048379|ref|NZ_GG700805.1|:191810-192061	gi|259048379|ref|NZ_GG700805.1|:191810-192061	1	535
gi|259048385|ref|NZ_GG700811.1|:c243731-243183	gi|259048385|ref|NZ_GG700811.1|:c243731-243183	1	535
gi|319430703|ref|NZ_GL622333.1|:517775-518299	gi|319430703|ref|NZ_GL622333.1|:517775-518299	1	535
gi|319430703|ref|NZ_GL622333.1|:410480-411253	gi|319430703|ref|NZ_GL622333.1|:410480-411253	1	535
gi|309809888|ref|NZ_AEHR01000027.1|:c48514-47726	gi|309809888|ref|NZ_AEHR01000027.1|:c48514-47726	1	535
gi|319430703|ref|NZ_GL622333.1|:c1065258-1064644	gi|319430703|ref|NZ_GL622333.1|:c1065258-1064644	1	535
gi|259048378|ref|NZ_GG700804.1|:c31667-30975	gi|259048378|ref|NZ_GG700804.1|:c31667-30975	1	535
gi|259048379|ref|NZ_GG700805.1|:182754-183545	gi|259048379|ref|NZ_GG700805.1|:182754-183545	1	535
gi|319430703|ref|NZ_GL622333.1|:c128869-127133	gi|319430703|ref|NZ_GL622333.1|:c128869-127133	1	535
gi|309806952|ref|NZ_AEHP01000054.1|:c70429-69617	gi|309806952|ref|NZ_AEHP01000054.1|:c70429-69617	1	535
gi|319430703|ref|NZ_GL622333.1|:c248528-247755	gi|319430703|ref|NZ_GL622333.1|:c248528-247755	1	535
gi|319430703|ref|NZ_GL622333.1|:309427-310779	gi|319430703|ref|NZ_GL622333.1|:309427-310779	1	535
LINAB1_0078|LINAB1_0078|Maltose/maltodextrin	LINAB1_0078|LINAB1_0078|Maltose/maltodextrin	1	535
gi|319430703|ref|NZ_GL622333.1|:1179108-1179404	gi|319430703|ref|NZ_GL622333.1|:1179108-1179404	1	535
gi|329921046|ref|NZ_AEXP01000040.1|:c48915-47386	gi|329921046|ref|NZ_AEXP01000040.1|:c48915-47386	1	535
gi|319430703|ref|NZ_GL622333.1|:c282197-281823	gi|319430703|ref|NZ_GL622333.1|:c282197-281823	1	535
LINAB1_0058|LINAB1_0058|PTS	LINAB1_0058|LINAB1_0058|PTS	1	535
LINAB1_0935|LINAB1_0935|glucitol/sorbitol	LINAB1_0935|LINAB1_0935|glucitol/sorbitol	1	535
gi|259048376|ref|NZ_GG700802.1|:69668-70453	gi|259048376|ref|NZ_GG700802.1|:69668-70453	1	535
LINAB1_1032|LINAB1_1032|glutamyl-tRNA	LINAB1_1032|LINAB1_1032|glutamyl-tRNA	1	535
gi|309806048|ref|NZ_AEHP01000014.1|:c965-1	gi|309806048|ref|NZ_AEHP01000014.1|:c965-1	1	535
gi|309808049|ref|NZ_AEHQ01000050.1|:c18770-17919	gi|309808049|ref|NZ_AEHQ01000050.1|:c18770-17919	1	535
gi|309807344|ref|NZ_AEHQ01000001.1|:c7756-6713	gi|309807344|ref|NZ_AEHQ01000001.1|:c7756-6713	1	535
gi|312872045|ref|NZ_AEKJ01000008.1|:c42530-41976	gi|312872045|ref|NZ_AEKJ01000008.1|:c42530-41976	1	535
gi|309804024|ref|NZ_AEHN01000019.1|:c39087-37432	gi|309804024|ref|NZ_AEHN01000019.1|:c39087-37432	1	535
gi|319430703|ref|NZ_GL622333.1|:294264-295082	gi|319430703|ref|NZ_GL622333.1|:294264-295082	1	535
gi|309808914|ref|NZ_AEHQ01000091.1|:5057-5659	gi|309808914|ref|NZ_AEHQ01000091.1|:5057-5659	1	535
gi|319430703|ref|NZ_GL622333.1|:c1024470-1023907	gi|319430703|ref|NZ_GL622333.1|:c1024470-1023907	1	535
gi|312873919|ref|NZ_AEKI01000022.1|:c9775-8936	gi|312873919|ref|NZ_AEKI01000022.1|:c9775-8936	1	535
gi|319430703|ref|NZ_GL622333.1|:c1059773-1059375	gi|319430703|ref|NZ_GL622333.1|:c1059773-1059375	1	535
gi|319430703|ref|NZ_GL622333.1|:c133106-132225	gi|319430703|ref|NZ_GL622333.1|:c133106-132225	1	535
gi|319430703|ref|NZ_GL622333.1|:c722145-721723	gi|319430703|ref|NZ_GL622333.1|:c722145-721723	1	535
gi|309805463|ref|NZ_AEHO01000027.1|:c51678-50776	gi|309805463|ref|NZ_AEHO01000027.1|:c51678-50776	1	535
gi|319430703|ref|NZ_GL622333.1|:c757675-757106	gi|319430703|ref|NZ_GL622333.1|:c757675-757106	1	535
gi|309807625|ref|NZ_AEHQ01000024.1|:c2309-1482	gi|309807625|ref|NZ_AEHQ01000024.1|:c2309-1482	1	535
gi|309806244|ref|NZ_AEHP01000023.1|:c43650-42808	gi|309806244|ref|NZ_AEHP01000023.1|:c43650-42808	1	535
gi|309805163|ref|NZ_AEHO01000020.1|:c84020-83613	gi|309805163|ref|NZ_AEHO01000020.1|:c84020-83613	1	535
gi|309804140|ref|NZ_AEHN01000022.1|:c8144-7380	gi|309804140|ref|NZ_AEHN01000022.1|:c8144-7380	1	535
gi|319430703|ref|NZ_GL622333.1|:c263633-261360	gi|319430703|ref|NZ_GL622333.1|:c263633-261360	1	535
gi|319430703|ref|NZ_GL622333.1|:367113-368075	gi|319430703|ref|NZ_GL622333.1|:367113-368075	1	535
gi|319430703|ref|NZ_GL622333.1|:391501-392061	gi|319430703|ref|NZ_GL622333.1|:391501-392061	1	535
gi|319430703|ref|NZ_GL622333.1|:c283113-282184	gi|319430703|ref|NZ_GL622333.1|:c283113-282184	1	535
gi|319430703|ref|NZ_GL622333.1|:c860219-859545	gi|319430703|ref|NZ_GL622333.1|:c860219-859545	1	535
gi|319430703|ref|NZ_GL622333.1|:483692-484618	gi|319430703|ref|NZ_GL622333.1|:483692-484618	1	535
gi|319430703|ref|NZ_GL622333.1|:499085-500272	gi|319430703|ref|NZ_GL622333.1|:499085-500272	1	535
gi|319430703|ref|NZ_GL622333.1|:c1005699-1005421	gi|319430703|ref|NZ_GL622333.1|:c1005699-1005421	1	535
gi|319430703|ref|NZ_GL622333.1|:c932803-932246	gi|319430703|ref|NZ_GL622333.1|:c932803-932246	1	535
gi|319430703|ref|NZ_GL622333.1|:c634976-632562	gi|319430703|ref|NZ_GL622333.1|:c634976-632562	1	535
gi|309808379|ref|NZ_AEHQ01000067.1|:2626-4812	gi|309808379|ref|NZ_AEHQ01000067.1|:2626-4812	1	535
LINAB1_1070|LINAB1_1070|50S	LINAB1_1070|LINAB1_1070|50S	1	535
gi|319430703|ref|NZ_GL622333.1|:1182820-1184193	gi|319430703|ref|NZ_GL622333.1|:1182820-1184193	1	535
gi|319430703|ref|NZ_GL622333.1|:c1048658-1048263	gi|319430703|ref|NZ_GL622333.1|:c1048658-1048263	1	535
gi|309808964|ref|NZ_AEHR01000001.1|:19691-21406	gi|309808964|ref|NZ_AEHR01000001.1|:19691-21406	1	535
gi|259048385|ref|NZ_GG700811.1|:30601-31362	gi|259048385|ref|NZ_GG700811.1|:30601-31362	1	535
gi|319430703|ref|NZ_GL622333.1|:c1065902-1065273	gi|319430703|ref|NZ_GL622333.1|:c1065902-1065273	1	535
gi|309808290|ref|NZ_AEHQ01000062.1|:c18606-15703	gi|309808290|ref|NZ_AEHQ01000062.1|:c18606-15703	1	535
gi|319430703|ref|NZ_GL622333.1|:c1063467-1063183	gi|319430703|ref|NZ_GL622333.1|:c1063467-1063183	1	535
gi|319430703|ref|NZ_GL622333.1|:c210904-209996	gi|319430703|ref|NZ_GL622333.1|:c210904-209996	1	535
gi|319430703|ref|NZ_GL622333.1|:c261375-260713	gi|319430703|ref|NZ_GL622333.1|:c261375-260713	1	535
gi|319430703|ref|NZ_GL622333.1|:c759203-758451	gi|319430703|ref|NZ_GL622333.1|:c759203-758451	1	535
gi|319430703|ref|NZ_GL622333.1|:c648872-647958	gi|319430703|ref|NZ_GL622333.1|:c648872-647958	1	535
gi|319430703|ref|NZ_GL622333.1|:392094-392507	gi|319430703|ref|NZ_GL622333.1|:392094-392507	1	535
gi|319430703|ref|NZ_GL622333.1|:c753156-752722	gi|319430703|ref|NZ_GL622333.1|:c753156-752722	1	535
gi|319430703|ref|NZ_GL622333.1|:c1058416-1057904	gi|319430703|ref|NZ_GL622333.1|:c1058416-1057904	1	535
gi|319430703|ref|NZ_GL622333.1|:c1108537-1108112	gi|319430703|ref|NZ_GL622333.1|:c1108537-1108112	1	535
gi|319430703|ref|NZ_GL622333.1|:c126326-124767	gi|319430703|ref|NZ_GL622333.1|:c126326-124767	1	535
gi|295691862|ref|NC_014106.1|:c1331119-1329458	gi|295691862|ref|NC_014106.1|:c1331119-1329458	2	512
gi|295691862|ref|NC_014106.1|:276637-278004	gi|295691862|ref|NC_014106.1|:276637-278004	2	512
gi|295691862|ref|NC_014106.1|:c1276584-1273981	gi|295691862|ref|NC_014106.1|:c1276584-1273981	2	512
gi|262046321|ref|NZ_GG704608.1|:c176723-175694	gi|262046321|ref|NZ_GG704608.1|:c176723-175694	2	512
gi|295691862|ref|NC_014106.1|:769246-769752	gi|295691862|ref|NC_014106.1|:769246-769752	2	512
gi|295691862|ref|NC_014106.1|:c1898446-1895909	gi|295691862|ref|NC_014106.1|:c1898446-1895909	2	512
gi|295691862|ref|NC_014106.1|:c1906391-1905033	gi|295691862|ref|NC_014106.1|:c1906391-1905033	2	512
gi|159162017|ref|NC_006814.3|:287288-287695	gi|159162017|ref|NC_006814.3|:287288-287695	2	512
gi|295691862|ref|NC_014106.1|:868422-869753	gi|295691862|ref|NC_014106.1|:868422-869753	2	512
gi|295691862|ref|NC_014106.1|:c1979420-1978134	gi|295691862|ref|NC_014106.1|:c1979420-1978134	2	512
gi|295691862|ref|NC_014106.1|:347228-348727	gi|295691862|ref|NC_014106.1|:347228-348727	2	512
gi|295691862|ref|NC_014106.1|:291238-293406	gi|295691862|ref|NC_014106.1|:291238-293406	2	512
gi|295691862|ref|NC_014106.1|:1025047-1026255	gi|295691862|ref|NC_014106.1|:1025047-1026255	2	512
gi|423317670|ref|NZ_JH932287.1|:c311662-310301	gi|423317670|ref|NZ_JH932287.1|:c311662-310301	2	512
gi|295691862|ref|NC_014106.1|:769752-770300	gi|295691862|ref|NC_014106.1|:769752-770300	2	512
gi|295691862|ref|NC_014106.1|:771837-772799	gi|295691862|ref|NC_014106.1|:771837-772799	2	512
gi|295691862|ref|NC_014106.1|:391450-393075	gi|295691862|ref|NC_014106.1|:391450-393075	2	512
gi|159162017|ref|NC_006814.3|:302407-302799	gi|159162017|ref|NC_006814.3|:302407-302799	2	512
gi|159162017|ref|NC_006814.3|:8933-9229	gi|159162017|ref|NC_006814.3|:8933-9229	2	512
gi|295691862|ref|NC_014106.1|:c1286306-1285050	gi|295691862|ref|NC_014106.1|:c1286306-1285050	2	512
gi|295691862|ref|NC_014106.1|:c1202469-1200406	gi|295691862|ref|NC_014106.1|:c1202469-1200406	2	512
gi|319430703|ref|NZ_GL622333.1|:998956-999927	gi|319430703|ref|NZ_GL622333.1|:998956-999927	1	535
gi|319430703|ref|NZ_GL622333.1|:c46543-46001	gi|319430703|ref|NZ_GL622333.1|:c46543-46001	1	535
gi|319430703|ref|NZ_GL622333.1|:c580458-579556	gi|319430703|ref|NZ_GL622333.1|:c580458-579556	1	535
gi|319430703|ref|NZ_GL622333.1|:c733155-732718	gi|319430703|ref|NZ_GL622333.1|:c733155-732718	1	535
gi|319430703|ref|NZ_GL622333.1|:389941-390240	gi|319430703|ref|NZ_GL622333.1|:389941-390240	1	535
gi|309805974|ref|NZ_AEHP01000010.1|:43933-44562	gi|309805974|ref|NZ_AEHP01000010.1|:43933-44562	1	535
gi|319430703|ref|NZ_GL622333.1|:c615740-615189	gi|319430703|ref|NZ_GL622333.1|:c615740-615189	1	535
gi|309805638|ref|NZ_AEHO01000031.1|:c37618-36821	gi|309805638|ref|NZ_AEHO01000031.1|:c37618-36821	1	535
gi|312873263|ref|NZ_AEKI01000003.1|:c10477-9086	gi|312873263|ref|NZ_AEKI01000003.1|:c10477-9086	1	535
gi|319430703|ref|NZ_GL622333.1|:466380-466649	gi|319430703|ref|NZ_GL622333.1|:466380-466649	1	535
gi|319430703|ref|NZ_GL622333.1|:c89056-88700	gi|319430703|ref|NZ_GL622333.1|:c89056-88700	1	535
gi|309807036|ref|NZ_AEHP01000055.1|:3558-4664	gi|309807036|ref|NZ_AEHP01000055.1|:3558-4664	1	535
gi|309808547|ref|NZ_AEHQ01000071.1|:c1178-24	gi|309808547|ref|NZ_AEHQ01000071.1|:c1178-24	1	535
gi|259048385|ref|NZ_GG700811.1|:100736-101482	gi|259048385|ref|NZ_GG700811.1|:100736-101482	1	535
gi|309807559|ref|NZ_AEHQ01000016.1|:c16961-15321	gi|309807559|ref|NZ_AEHQ01000016.1|:c16961-15321	1	535
gi|319430703|ref|NZ_GL622333.1|:398866-399216	gi|319430703|ref|NZ_GL622333.1|:398866-399216	1	535
gi|319430703|ref|NZ_GL622333.1|:746421-747047	gi|319430703|ref|NZ_GL622333.1|:746421-747047	1	535
gi|319430703|ref|NZ_GL622333.1|:1035507-1036853	gi|319430703|ref|NZ_GL622333.1|:1035507-1036853	1	535
gi|309807283|ref|NZ_AEHP01000067.1|:c48970-47876	gi|309807283|ref|NZ_AEHP01000067.1|:c48970-47876	1	535
gi|319430703|ref|NZ_GL622333.1|:c602043-600757	gi|319430703|ref|NZ_GL622333.1|:c602043-600757	1	535
gi|309806556|ref|NZ_AEHP01000036.1|:c5070-4219	gi|309806556|ref|NZ_AEHP01000036.1|:c5070-4219	1	535
gi|309806244|ref|NZ_AEHP01000023.1|:c25911-24721	gi|309806244|ref|NZ_AEHP01000023.1|:c25911-24721	1	535
gi|319430703|ref|NZ_GL622333.1|:c864106-862667	gi|319430703|ref|NZ_GL622333.1|:c864106-862667	1	535
gi|319430703|ref|NZ_GL622333.1|:c1071140-1070253	gi|319430703|ref|NZ_GL622333.1|:c1071140-1070253	1	535
gi|319430703|ref|NZ_GL622333.1|:244122-244673	gi|319430703|ref|NZ_GL622333.1|:244122-244673	1	535
gi|309808396|ref|NZ_AEHQ01000069.1|:c73110-72427	gi|309808396|ref|NZ_AEHQ01000069.1|:c73110-72427	1	535
gi|309805163|ref|NZ_AEHO01000020.1|:c8741-7254	gi|309805163|ref|NZ_AEHO01000020.1|:c8741-7254	1	535
gi|319430703|ref|NZ_GL622333.1|:c986078-984900	gi|319430703|ref|NZ_GL622333.1|:c986078-984900	1	535
gi|319430703|ref|NZ_GL622333.1|:c578552-577647	gi|319430703|ref|NZ_GL622333.1|:c578552-577647	1	535
gi|319430703|ref|NZ_GL622333.1|:413042-413599	gi|319430703|ref|NZ_GL622333.1|:413042-413599	1	535
gi|309803430|ref|NZ_AEHN01000006.1|:9935-10651	gi|309803430|ref|NZ_AEHN01000006.1|:9935-10651	1	535
LINAB1_0447|LINAB1_0447|50S	LINAB1_0447|LINAB1_0447|50S	1	535
gi|309806106|ref|NZ_AEHP01000017.1|:c22304-21528	gi|309806106|ref|NZ_AEHP01000017.1|:c22304-21528	1	535
gi|309805575|ref|NZ_AEHO01000029.1|:c26272-24989	gi|309805575|ref|NZ_AEHO01000029.1|:c26272-24989	1	535
gi|259048379|ref|NZ_GG700805.1|:385785-386621	gi|259048379|ref|NZ_GG700805.1|:385785-386621	1	535
gi|309806766|ref|NZ_AEHP01000044.1|:c1341-604	gi|309806766|ref|NZ_AEHP01000044.1|:c1341-604	1	535
gi|309808161|ref|NZ_AEHQ01000058.1|:28290-29147	gi|309808161|ref|NZ_AEHQ01000058.1|:28290-29147	1	535
gi|319430703|ref|NZ_GL622333.1|:c535739-534804	gi|319430703|ref|NZ_GL622333.1|:c535739-534804	1	535
gi|259048385|ref|NZ_GG700811.1|:23616-24209	gi|259048385|ref|NZ_GG700811.1|:23616-24209	1	535
gi|309804198|ref|NZ_AEHN01000023.1|:c29507-28743	gi|309804198|ref|NZ_AEHN01000023.1|:c29507-28743	1	535
gi|319430703|ref|NZ_GL622333.1|:c214986-214426	gi|319430703|ref|NZ_GL622333.1|:c214986-214426	1	535
gi|319430703|ref|NZ_GL622333.1|:c1038582-1037893	gi|319430703|ref|NZ_GL622333.1|:c1038582-1037893	1	535
gi|319430703|ref|NZ_GL622333.1|:c220996-220526	gi|319430703|ref|NZ_GL622333.1|:c220996-220526	1	535
gi|309808128|ref|NZ_AEHQ01000056.1|:c26956-25511	gi|309808128|ref|NZ_AEHQ01000056.1|:c26956-25511	1	535
gi|309803710|ref|NZ_AEHN01000014.1|:c77431-76358	gi|309803710|ref|NZ_AEHN01000014.1|:c77431-76358	1	535
gi|319430703|ref|NZ_GL622333.1|:10720-11565	gi|319430703|ref|NZ_GL622333.1|:10720-11565	1	535
gi|319430703|ref|NZ_GL622333.1|:c1072450-1071677	gi|319430703|ref|NZ_GL622333.1|:c1072450-1071677	1	535
LINAB1_0041|LINAB1_0041|deoxynucleoside	LINAB1_0041|LINAB1_0041|deoxynucleoside	1	535
gi|319430703|ref|NZ_GL622333.1|:395400-396266	gi|319430703|ref|NZ_GL622333.1|:395400-396266	1	535
gi|319430703|ref|NZ_GL622333.1|:c758432-758220	gi|319430703|ref|NZ_GL622333.1|:c758432-758220	1	535
gi|319430703|ref|NZ_GL622333.1|:494519-495250	gi|319430703|ref|NZ_GL622333.1|:494519-495250	1	535
gi|329920768|ref|NZ_AEXP01000027.1|:18429-19625	gi|329920768|ref|NZ_AEXP01000027.1|:18429-19625	1	535
gi|319430703|ref|NZ_GL622333.1|:c239949-239131	gi|319430703|ref|NZ_GL622333.1|:c239949-239131	1	535
gi|319430703|ref|NZ_GL622333.1|:c956675-956277	gi|319430703|ref|NZ_GL622333.1|:c956675-956277	1	535
gi|319430703|ref|NZ_GL622333.1|:379236-382022	gi|319430703|ref|NZ_GL622333.1|:379236-382022	1	535
gi|319430703|ref|NZ_GL622333.1|:459914-460462	gi|319430703|ref|NZ_GL622333.1|:459914-460462	1	535
gi|319430703|ref|NZ_GL622333.1|:c56638-55349	gi|319430703|ref|NZ_GL622333.1|:c56638-55349	1	535
gi|319430703|ref|NZ_GL622333.1|:c872499-871357	gi|319430703|ref|NZ_GL622333.1|:c872499-871357	1	535
gi|319430703|ref|NZ_GL622333.1|:1224004-1224825	gi|319430703|ref|NZ_GL622333.1|:1224004-1224825	1	535
gi|309806613|ref|NZ_AEHP01000040.1|:c75214-73553	gi|309806613|ref|NZ_AEHP01000040.1|:c75214-73553	1	535
gi|319430703|ref|NZ_GL622333.1|:c715732-714983	gi|319430703|ref|NZ_GL622333.1|:c715732-714983	1	535
gi|319430703|ref|NZ_GL622333.1|:1202826-1203923	gi|319430703|ref|NZ_GL622333.1|:1202826-1203923	1	535
gi|319430703|ref|NZ_GL622333.1|:c762909-761821	gi|319430703|ref|NZ_GL622333.1|:c762909-761821	1	535
gi|319430703|ref|NZ_GL622333.1|:305687-306487	gi|319430703|ref|NZ_GL622333.1|:305687-306487	1	535
gi|319430703|ref|NZ_GL622333.1|:c1069796-1068960	gi|319430703|ref|NZ_GL622333.1|:c1069796-1068960	1	535
gi|319430703|ref|NZ_GL622333.1|:c584661-583783	gi|319430703|ref|NZ_GL622333.1|:c584661-583783	1	535
gi|309807724|ref|NZ_AEHQ01000034.1|:c28621-27860	gi|309807724|ref|NZ_AEHQ01000034.1|:c28621-27860	1	535
gi|319430703|ref|NZ_GL622333.1|:c864408-864106	gi|319430703|ref|NZ_GL622333.1|:c864408-864106	1	535
LINAB1_0585|LINAB1_0585|phosphomevalonate	LINAB1_0585|LINAB1_0585|phosphomevalonate	1	535
gi|309806244|ref|NZ_AEHP01000023.1|:c49578-48691	gi|309806244|ref|NZ_AEHP01000023.1|:c49578-48691	1	535
gi|309806041|ref|NZ_AEHP01000013.1|:745-1776	gi|309806041|ref|NZ_AEHP01000013.1|:745-1776	1	535
gi|309808715|ref|NZ_AEHQ01000081.1|:c2122-299	gi|309808715|ref|NZ_AEHQ01000081.1|:c2122-299	1	535
gi|319430703|ref|NZ_GL622333.1|:c1052473-1051625	gi|319430703|ref|NZ_GL622333.1|:c1052473-1051625	1	535
gi|309807344|ref|NZ_AEHQ01000001.1|:7844-10516	gi|309807344|ref|NZ_AEHQ01000001.1|:7844-10516	1	535
gi|309805817|ref|NZ_AEHP01000001.1|:c5750-4047	gi|309805817|ref|NZ_AEHP01000001.1|:c5750-4047	1	535
gi|309807068|ref|NZ_AEHP01000057.1|:c1293-1	gi|309807068|ref|NZ_AEHP01000057.1|:c1293-1	1	535
gi|319430703|ref|NZ_GL622333.1|:c695708-695013	gi|319430703|ref|NZ_GL622333.1|:c695708-695013	1	535
gi|319430703|ref|NZ_GL622333.1|:c1193401-1192715	gi|319430703|ref|NZ_GL622333.1|:c1193401-1192715	1	535
gi|309809695|ref|NZ_AEHR01000020.1|:c2500-2141	gi|309809695|ref|NZ_AEHR01000020.1|:c2500-2141	1	535
gi|319430703|ref|NZ_GL622333.1|:c713061-712168	gi|319430703|ref|NZ_GL622333.1|:c713061-712168	1	535
gi|319430703|ref|NZ_GL622333.1|:c994194-993856	gi|319430703|ref|NZ_GL622333.1|:c994194-993856	1	535
gi|319430703|ref|NZ_GL622333.1|:c769922-768582	gi|319430703|ref|NZ_GL622333.1|:c769922-768582	1	535
gi|319430703|ref|NZ_GL622333.1|:c87874-87170	gi|319430703|ref|NZ_GL622333.1|:c87874-87170	1	535
gi|319430703|ref|NZ_GL622333.1|:c1124543-1123554	gi|319430703|ref|NZ_GL622333.1|:c1124543-1123554	1	535
LINAB1_0665|LINAB1_0665|HD	LINAB1_0665|LINAB1_0665|HD	1	535
LINAB1_0755|LINAB1_0755|cysteine	LINAB1_0755|LINAB1_0755|cysteine	1	535
gi|259048379|ref|NZ_GG700805.1|:c206543-205965	gi|259048379|ref|NZ_GG700805.1|:c206543-205965	1	535
gi|319430703|ref|NZ_GL622333.1|:c972552-971899	gi|319430703|ref|NZ_GL622333.1|:c972552-971899	1	535
gi|309804024|ref|NZ_AEHN01000019.1|:c47659-46835	gi|309804024|ref|NZ_AEHN01000019.1|:c47659-46835	1	535
gi|319430703|ref|NZ_GL622333.1|:475703-476584	gi|319430703|ref|NZ_GL622333.1|:475703-476584	1	535
gi|319430703|ref|NZ_GL622333.1|:c286807-285434	gi|319430703|ref|NZ_GL622333.1|:c286807-285434	1	535
gi|309807724|ref|NZ_AEHQ01000034.1|:c36413-35361	gi|309807724|ref|NZ_AEHQ01000034.1|:c36413-35361	1	535
gi|309804541|ref|NZ_AEHO01000007.1|:c82270-81647	gi|309804541|ref|NZ_AEHO01000007.1|:c82270-81647	1	535
gi|319430703|ref|NZ_GL622333.1|:c212969-212058	gi|319430703|ref|NZ_GL622333.1|:c212969-212058	1	535
gi|319430703|ref|NZ_GL622333.1|:c588567-587281	gi|319430703|ref|NZ_GL622333.1|:c588567-587281	1	535
gi|319430703|ref|NZ_GL622333.1|:c86289-85927	gi|319430703|ref|NZ_GL622333.1|:c86289-85927	1	535
gi|309808715|ref|NZ_AEHQ01000081.1|:c3193-2396	gi|309808715|ref|NZ_AEHQ01000081.1|:c3193-2396	1	535
gi|319430703|ref|NZ_GL622333.1|:c1068926-1067541	gi|319430703|ref|NZ_GL622333.1|:c1068926-1067541	1	535
gi|319430703|ref|NZ_GL622333.1|:293399-294262	gi|319430703|ref|NZ_GL622333.1|:293399-294262	1	535
gi|309805575|ref|NZ_AEHO01000029.1|:c2688-358	gi|309805575|ref|NZ_AEHO01000029.1|:c2688-358	1	535
gi|309806064|ref|NZ_AEHP01000015.1|:c10250-9126	gi|309806064|ref|NZ_AEHP01000015.1|:c10250-9126	1	535
gi|309805463|ref|NZ_AEHO01000027.1|:c4405-2129	gi|309805463|ref|NZ_AEHO01000027.1|:c4405-2129	1	535
