	Systematic.name	cluster	cluster.size
gi|238694417|ref|NZ_GG669820.1|:c7251-6517	gi|238694417|ref|NZ_GG669820.1|:c7251-6517	1	1008
gi|295691862|ref|NC_014106.1|:c1913747-1912026	gi|295691862|ref|NC_014106.1|:c1913747-1912026	1	1008
gi|295691862|ref|NC_014106.1|:c1907692-1906466	gi|295691862|ref|NC_014106.1|:c1907692-1906466	1	1008
gi|295691862|ref|NC_014106.1|:322090-322326	gi|295691862|ref|NC_014106.1|:322090-322326	1	1008
gi|256844216|ref|NZ_GG698762.1|:233204-234739	gi|256844216|ref|NZ_GG698762.1|:233204-234739	1	1008
gi|295691862|ref|NC_014106.1|:c1979420-1978134	gi|295691862|ref|NC_014106.1|:c1979420-1978134	1	1008
gi|295691862|ref|NC_014106.1|:c1700290-1698989	gi|295691862|ref|NC_014106.1|:c1700290-1698989	1	1008
gi|295691862|ref|NC_014106.1|:823723-824670	gi|295691862|ref|NC_014106.1|:823723-824670	1	1008
gi|295691862|ref|NC_014106.1|:1057494-1058810	gi|295691862|ref|NC_014106.1|:1057494-1058810	1	1008
gi|159162017|ref|NC_006814.3|:294074-294748	gi|159162017|ref|NC_006814.3|:294074-294748	1	1008
gi|295691862|ref|NC_014106.1|:158733-159446	gi|295691862|ref|NC_014106.1|:158733-159446	1	1008
gi|159162017|ref|NC_006814.3|:293707-294060	gi|159162017|ref|NC_006814.3|:293707-294060	1	1008
gi|295691862|ref|NC_014106.1|:1026325-1027632	gi|295691862|ref|NC_014106.1|:1026325-1027632	1	1008
gi|295691862|ref|NC_014106.1|:291238-293406	gi|295691862|ref|NC_014106.1|:291238-293406	1	1008
gi|295691862|ref|NC_014106.1|:689076-690014	gi|295691862|ref|NC_014106.1|:689076-690014	1	1008
gi|295691862|ref|NC_014106.1|:775094-776083	gi|295691862|ref|NC_014106.1|:775094-776083	1	1008
gi|295691862|ref|NC_014106.1|:774273-774713	gi|295691862|ref|NC_014106.1|:774273-774713	1	1008
gi|295691862|ref|NC_014106.1|:c1285022-1283325	gi|295691862|ref|NC_014106.1|:c1285022-1283325	1	1008
gi|295691862|ref|NC_014106.1|:2000910-2002004	gi|295691862|ref|NC_014106.1|:2000910-2002004	1	1008
gi|295691862|ref|NC_014106.1|:1480509-1480793	gi|295691862|ref|NC_014106.1|:1480509-1480793	1	1008
gi|295691862|ref|NC_014106.1|:c1198540-1197428	gi|295691862|ref|NC_014106.1|:c1198540-1197428	1	1008
gi|295691862|ref|NC_014106.1|:c1911854-1909590	gi|295691862|ref|NC_014106.1|:c1911854-1909590	1	1008
gi|295691862|ref|NC_014106.1|:1025047-1026255	gi|295691862|ref|NC_014106.1|:1025047-1026255	1	1008
gi|295691862|ref|NC_014106.1|:674660-675760	gi|295691862|ref|NC_014106.1|:674660-675760	1	1008
gi|256844216|ref|NZ_GG698762.1|:330256-331299	gi|256844216|ref|NZ_GG698762.1|:330256-331299	1	1008
gi|295691862|ref|NC_014106.1|:553715-555064	gi|295691862|ref|NC_014106.1|:553715-555064	1	1008
gi|159162017|ref|NC_006814.3|:932623-933585	gi|159162017|ref|NC_006814.3|:932623-933585	1	1008
gi|423317670|ref|NZ_JH932287.1|:c311662-310301	gi|423317670|ref|NZ_JH932287.1|:c311662-310301	1	1008
gi|295691862|ref|NC_014106.1|:c651975-649783	gi|295691862|ref|NC_014106.1|:c651975-649783	1	1008
gi|295691862|ref|NC_014106.1|:711791-712822	gi|295691862|ref|NC_014106.1|:711791-712822	1	1008
gi|159162017|ref|NC_006814.3|:298448-298954	gi|159162017|ref|NC_006814.3|:298448-298954	1	1008
gi|295691862|ref|NC_014106.1|:c1208068-1207109	gi|295691862|ref|NC_014106.1|:c1208068-1207109	1	1008
gi|295691862|ref|NC_014106.1|:769752-770300	gi|295691862|ref|NC_014106.1|:769752-770300	1	1008
gi|295691862|ref|NC_014106.1|:771837-772799	gi|295691862|ref|NC_014106.1|:771837-772799	1	1008
gi|295691862|ref|NC_014106.1|:c1703317-1702451	gi|295691862|ref|NC_014106.1|:c1703317-1702451	1	1008
gi|295691862|ref|NC_014106.1|:391450-393075	gi|295691862|ref|NC_014106.1|:391450-393075	1	1008
gi|295691862|ref|NC_014106.1|:377295-377867	gi|295691862|ref|NC_014106.1|:377295-377867	1	1008
gi|295691862|ref|NC_014106.1|:c1884809-1883748	gi|295691862|ref|NC_014106.1|:c1884809-1883748	1	1008
gi|295691862|ref|NC_014106.1|:459942-461753	gi|295691862|ref|NC_014106.1|:459942-461753	1	1008
gi|295691862|ref|NC_014106.1|:156526-158733	gi|295691862|ref|NC_014106.1|:156526-158733	1	1008
gi|295691862|ref|NC_014106.1|:c1286306-1285050	gi|295691862|ref|NC_014106.1|:c1286306-1285050	1	1008
gi|293379948|ref|NZ_ADGR01000032.1|:9065-9808	gi|293379948|ref|NZ_ADGR01000032.1|:9065-9808	1	1008
gi|238694417|ref|NZ_GG669820.1|:37273-38451	gi|238694417|ref|NZ_GG669820.1|:37273-38451	1	1008
gi|295691862|ref|NC_014106.1|:c1202469-1200406	gi|295691862|ref|NC_014106.1|:c1202469-1200406	1	1008
gi|295691862|ref|NC_014106.1|:1556939-1557835	gi|295691862|ref|NC_014106.1|:1556939-1557835	1	1008
gi|159162017|ref|NC_006814.3|:297094-297492	gi|159162017|ref|NC_006814.3|:297094-297492	1	1008
gi|295691862|ref|NC_014106.1|:229226-230611	gi|295691862|ref|NC_014106.1|:229226-230611	1	1008
gi|259048376|ref|NZ_GG700802.1|:96599-97288	gi|259048376|ref|NZ_GG700802.1|:96599-97288	2	611
gi|319430703|ref|NZ_GL622333.1|:c1102375-1101899	gi|319430703|ref|NZ_GL622333.1|:c1102375-1101899	2	611
gi|319430703|ref|NZ_GL622333.1|:c1058793-1058434	gi|319430703|ref|NZ_GL622333.1|:c1058793-1058434	2	611
gi|319430703|ref|NZ_GL622333.1|:c856978-855635	gi|319430703|ref|NZ_GL622333.1|:c856978-855635	2	611
gi|319430703|ref|NZ_GL622333.1|:c640890-640165	gi|319430703|ref|NZ_GL622333.1|:c640890-640165	2	611
gi|319430703|ref|NZ_GL622333.1|:c46543-46001	gi|319430703|ref|NZ_GL622333.1|:c46543-46001	2	611
gi|319430703|ref|NZ_GL622333.1|:c721302-720676	gi|319430703|ref|NZ_GL622333.1|:c721302-720676	2	611
gi|319430703|ref|NZ_GL622333.1|:c1049999-1049217	gi|319430703|ref|NZ_GL622333.1|:c1049999-1049217	2	611
gi|319430703|ref|NZ_GL622333.1|:c580458-579556	gi|319430703|ref|NZ_GL622333.1|:c580458-579556	2	611
gi|319430703|ref|NZ_GL622333.1|:c733155-732718	gi|319430703|ref|NZ_GL622333.1|:c733155-732718	2	611
LINAB1_0692|LINAB1_0692|methionine	LINAB1_0692|LINAB1_0692|methionine	2	611
gi|319430703|ref|NZ_GL622333.1|:c1034808-1033429	gi|319430703|ref|NZ_GL622333.1|:c1034808-1033429	2	611
gi|319430703|ref|NZ_GL622333.1|:389941-390240	gi|319430703|ref|NZ_GL622333.1|:389941-390240	2	611
gi|309805974|ref|NZ_AEHP01000010.1|:43933-44562	gi|309805974|ref|NZ_AEHP01000010.1|:43933-44562	2	611
LINAB1_0408|LINAB1_0408|ABC	LINAB1_0408|LINAB1_0408|ABC	2	611
gi|312873263|ref|NZ_AEKI01000003.1|:c10477-9086	gi|312873263|ref|NZ_AEKI01000003.1|:c10477-9086	2	611
gi|319430703|ref|NZ_GL622333.1|:466380-466649	gi|319430703|ref|NZ_GL622333.1|:466380-466649	2	611
gi|319430703|ref|NZ_GL622333.1|:c89056-88700	gi|319430703|ref|NZ_GL622333.1|:c89056-88700	2	611
gi|309808547|ref|NZ_AEHQ01000071.1|:c1178-24	gi|309808547|ref|NZ_AEHQ01000071.1|:c1178-24	2	611
gi|259048385|ref|NZ_GG700811.1|:100736-101482	gi|259048385|ref|NZ_GG700811.1|:100736-101482	2	611
gi|319430703|ref|NZ_GL622333.1|:c1071693-1071130	gi|319430703|ref|NZ_GL622333.1|:c1071693-1071130	2	611
gi|319430703|ref|NZ_GL622333.1|:c200413-199928	gi|319430703|ref|NZ_GL622333.1|:c200413-199928	2	611
gi|319430703|ref|NZ_GL622333.1|:c1228029-1227328	gi|319430703|ref|NZ_GL622333.1|:c1228029-1227328	2	611
gi|309807559|ref|NZ_AEHQ01000016.1|:c16961-15321	gi|309807559|ref|NZ_AEHQ01000016.1|:c16961-15321	2	611
gi|319430703|ref|NZ_GL622333.1|:c17260-16829	gi|319430703|ref|NZ_GL622333.1|:c17260-16829	2	611
gi|319430703|ref|NZ_GL622333.1|:746421-747047	gi|319430703|ref|NZ_GL622333.1|:746421-747047	2	611
gi|319430703|ref|NZ_GL622333.1|:c1061484-1061218	gi|319430703|ref|NZ_GL622333.1|:c1061484-1061218	2	611
gi|309804430|ref|NZ_AEHO01000004.1|:c6449-5703	gi|309804430|ref|NZ_AEHO01000004.1|:c6449-5703	2	611
gi|319430703|ref|NZ_GL622333.1|:1035507-1036853	gi|319430703|ref|NZ_GL622333.1|:1035507-1036853	2	611
gi|309807283|ref|NZ_AEHP01000067.1|:c48970-47876	gi|309807283|ref|NZ_AEHP01000067.1|:c48970-47876	2	611
gi|319430703|ref|NZ_GL622333.1|:c1059350-1058820	gi|319430703|ref|NZ_GL622333.1|:c1059350-1058820	2	611
gi|319430703|ref|NZ_GL622333.1|:c602043-600757	gi|319430703|ref|NZ_GL622333.1|:c602043-600757	2	611
gi|309806244|ref|NZ_AEHP01000023.1|:c25911-24721	gi|309806244|ref|NZ_AEHP01000023.1|:c25911-24721	2	611
gi|319430703|ref|NZ_GL622333.1|:c631404-630880	gi|319430703|ref|NZ_GL622333.1|:c631404-630880	2	611
gi|319430703|ref|NZ_GL622333.1|:c864106-862667	gi|319430703|ref|NZ_GL622333.1|:c864106-862667	2	611
gi|319430703|ref|NZ_GL622333.1|:244122-244673	gi|319430703|ref|NZ_GL622333.1|:244122-244673	2	611
gi|309808726|ref|NZ_AEHQ01000082.1|:c52547-50820	gi|309808726|ref|NZ_AEHQ01000082.1|:c52547-50820	2	611
gi|319430703|ref|NZ_GL622333.1|:511679-512431	gi|319430703|ref|NZ_GL622333.1|:511679-512431	2	611
gi|319430703|ref|NZ_GL622333.1|:c247771-246893	gi|319430703|ref|NZ_GL622333.1|:c247771-246893	2	611
gi|309808396|ref|NZ_AEHQ01000069.1|:c73110-72427	gi|309808396|ref|NZ_AEHQ01000069.1|:c73110-72427	2	611
gi|319430703|ref|NZ_GL622333.1|:c237621-236902	gi|319430703|ref|NZ_GL622333.1|:c237621-236902	2	611
gi|309805163|ref|NZ_AEHO01000020.1|:c8741-7254	gi|309805163|ref|NZ_AEHO01000020.1|:c8741-7254	2	611
gi|319430703|ref|NZ_GL622333.1|:c728243-726861	gi|319430703|ref|NZ_GL622333.1|:c728243-726861	2	611
gi|319430703|ref|NZ_GL622333.1|:c201711-200905	gi|319430703|ref|NZ_GL622333.1|:c201711-200905	2	611
gi|319430703|ref|NZ_GL622333.1|:c986078-984900	gi|319430703|ref|NZ_GL622333.1|:c986078-984900	2	611
gi|309807724|ref|NZ_AEHQ01000034.1|:c18203-17439	gi|309807724|ref|NZ_AEHQ01000034.1|:c18203-17439	2	611
gi|319430703|ref|NZ_GL622333.1|:c578552-577647	gi|319430703|ref|NZ_GL622333.1|:c578552-577647	2	611
gi|319430703|ref|NZ_GL622333.1|:c85924-85070	gi|319430703|ref|NZ_GL622333.1|:c85924-85070	2	611
gi|319430703|ref|NZ_GL622333.1|:c1060800-1060558	gi|319430703|ref|NZ_GL622333.1|:c1060800-1060558	2	611
gi|319430703|ref|NZ_GL622333.1|:413042-413599	gi|319430703|ref|NZ_GL622333.1|:413042-413599	2	611
gi|319430703|ref|NZ_GL622333.1|:c258209-256860	gi|319430703|ref|NZ_GL622333.1|:c258209-256860	2	611
gi|312874322|ref|NZ_AEKI01000027.1|:48647-49678	gi|312874322|ref|NZ_AEKI01000027.1|:48647-49678	2	611
gi|309806244|ref|NZ_AEHP01000023.1|:c22445-21639	gi|309806244|ref|NZ_AEHP01000023.1|:c22445-21639	2	611
gi|309803430|ref|NZ_AEHN01000006.1|:9935-10651	gi|309803430|ref|NZ_AEHN01000006.1|:9935-10651	2	611
LINAB1_0447|LINAB1_0447|50S	LINAB1_0447|LINAB1_0447|50S	2	611
gi|309806380|ref|NZ_AEHP01000024.1|:10183-10965	gi|309806380|ref|NZ_AEHP01000024.1|:10183-10965	2	611
gi|309806106|ref|NZ_AEHP01000017.1|:c22304-21528	gi|309806106|ref|NZ_AEHP01000017.1|:c22304-21528	2	611
gi|312875529|ref|NZ_AEKH01000028.1|:c161053-160172	gi|312875529|ref|NZ_AEKH01000028.1|:c161053-160172	2	611
gi|319430703|ref|NZ_GL622333.1|:c725717-724881	gi|319430703|ref|NZ_GL622333.1|:c725717-724881	2	611
gi|319430703|ref|NZ_GL622333.1|:c1055921-1055271	gi|319430703|ref|NZ_GL622333.1|:c1055921-1055271	2	611
gi|319430703|ref|NZ_GL622333.1|:364739-364981	gi|319430703|ref|NZ_GL622333.1|:364739-364981	2	611
gi|312871694|ref|NZ_AEKK01000021.1|:72997-74934	gi|312871694|ref|NZ_AEKK01000021.1|:72997-74934	2	611
LINAB1_1040|LINAB1_1040|CDF	LINAB1_1040|LINAB1_1040|CDF	2	611
gi|309805575|ref|NZ_AEHO01000029.1|:c26272-24989	gi|309805575|ref|NZ_AEHO01000029.1|:c26272-24989	2	611
gi|309807710|ref|NZ_AEHQ01000031.1|:c1454-624	gi|309807710|ref|NZ_AEHQ01000031.1|:c1454-624	2	611
gi|259048379|ref|NZ_GG700805.1|:385785-386621	gi|259048379|ref|NZ_GG700805.1|:385785-386621	2	611
gi|319430703|ref|NZ_GL622333.1|:c283932-283138	gi|319430703|ref|NZ_GL622333.1|:c283932-283138	2	611
gi|309808161|ref|NZ_AEHQ01000058.1|:28290-29147	gi|309808161|ref|NZ_AEHQ01000058.1|:28290-29147	2	611
gi|309808049|ref|NZ_AEHQ01000050.1|:c40761-39271	gi|309808049|ref|NZ_AEHQ01000050.1|:c40761-39271	2	611
gi|319430703|ref|NZ_GL622333.1|:c636025-634976	gi|319430703|ref|NZ_GL622333.1|:c636025-634976	2	611
gi|259048385|ref|NZ_GG700811.1|:23616-24209	gi|259048385|ref|NZ_GG700811.1|:23616-24209	2	611
gi|319430703|ref|NZ_GL622333.1|:438132-439973	gi|319430703|ref|NZ_GL622333.1|:438132-439973	2	611
gi|319430703|ref|NZ_GL622333.1|:c214986-214426	gi|319430703|ref|NZ_GL622333.1|:c214986-214426	2	611
gi|319430703|ref|NZ_GL622333.1|:c1038582-1037893	gi|319430703|ref|NZ_GL622333.1|:c1038582-1037893	2	611
gi|319430703|ref|NZ_GL622333.1|:c220996-220526	gi|319430703|ref|NZ_GL622333.1|:c220996-220526	2	611
gi|319430703|ref|NZ_GL622333.1|:c1227318-1224877	gi|319430703|ref|NZ_GL622333.1|:c1227318-1224877	2	611
gi|319430703|ref|NZ_GL622333.1|:303785-304891	gi|319430703|ref|NZ_GL622333.1|:303785-304891	2	611
gi|309804826|ref|NZ_AEHO01000010.1|:50238-51305	gi|309804826|ref|NZ_AEHO01000010.1|:50238-51305	2	611
gi|312873553|ref|NZ_AEKI01000011.1|:36787-37782	gi|312873553|ref|NZ_AEKI01000011.1|:36787-37782	2	611
gi|319430703|ref|NZ_GL622333.1|:c1121769-1121371	gi|319430703|ref|NZ_GL622333.1|:c1121769-1121371	2	611
gi|309808128|ref|NZ_AEHQ01000056.1|:c26956-25511	gi|309808128|ref|NZ_AEHQ01000056.1|:c26956-25511	2	611
gi|319430703|ref|NZ_GL622333.1|:c726858-725746	gi|319430703|ref|NZ_GL622333.1|:c726858-725746	2	611
gi|319430703|ref|NZ_GL622333.1|:c1057235-1055931	gi|319430703|ref|NZ_GL622333.1|:c1057235-1055931	2	611
gi|312873823|ref|NZ_AEKI01000015.1|:c35688-34969	gi|312873823|ref|NZ_AEKI01000015.1|:c35688-34969	2	611
gi|309803710|ref|NZ_AEHN01000014.1|:c77431-76358	gi|309803710|ref|NZ_AEHN01000014.1|:c77431-76358	2	611
gi|319430703|ref|NZ_GL622333.1|:c940271-939693	gi|319430703|ref|NZ_GL622333.1|:c940271-939693	2	611
gi|319430703|ref|NZ_GL622333.1|:10720-11565	gi|319430703|ref|NZ_GL622333.1|:10720-11565	2	611
gi|312873668|ref|NZ_AEKI01000012.1|:7262-8317	gi|312873668|ref|NZ_AEKI01000012.1|:7262-8317	2	611
gi|319430703|ref|NZ_GL622333.1|:c1072450-1071677	gi|319430703|ref|NZ_GL622333.1|:c1072450-1071677	2	611
gi|319430703|ref|NZ_GL622333.1|:c582423-581980	gi|319430703|ref|NZ_GL622333.1|:c582423-581980	2	611
gi|319430703|ref|NZ_GL622333.1|:c1054004-1053066	gi|319430703|ref|NZ_GL622333.1|:c1054004-1053066	2	611
gi|309804140|ref|NZ_AEHN01000022.1|:42171-43100	gi|309804140|ref|NZ_AEHN01000022.1|:42171-43100	2	611
LINAB1_0041|LINAB1_0041|deoxynucleoside	LINAB1_0041|LINAB1_0041|deoxynucleoside	2	611
gi|319430703|ref|NZ_GL622333.1|:395400-396266	gi|319430703|ref|NZ_GL622333.1|:395400-396266	2	611
gi|319430703|ref|NZ_GL622333.1|:c758432-758220	gi|319430703|ref|NZ_GL622333.1|:c758432-758220	2	611
gi|319430703|ref|NZ_GL622333.1|:378195-379022	gi|319430703|ref|NZ_GL622333.1|:378195-379022	2	611
gi|319430703|ref|NZ_GL622333.1|:494519-495250	gi|319430703|ref|NZ_GL622333.1|:494519-495250	2	611
gi|329920768|ref|NZ_AEXP01000027.1|:18429-19625	gi|329920768|ref|NZ_AEXP01000027.1|:18429-19625	2	611
LINAB1_0554|LINAB1_0554|integrase/recombinase	LINAB1_0554|LINAB1_0554|integrase/recombinase	2	611
gi|319430703|ref|NZ_GL622333.1|:c956675-956277	gi|319430703|ref|NZ_GL622333.1|:c956675-956277	2	611
gi|319430703|ref|NZ_GL622333.1|:379236-382022	gi|319430703|ref|NZ_GL622333.1|:379236-382022	2	611
gi|319430703|ref|NZ_GL622333.1|:359979-361643	gi|319430703|ref|NZ_GL622333.1|:359979-361643	2	611
gi|319430703|ref|NZ_GL622333.1|:c56638-55349	gi|319430703|ref|NZ_GL622333.1|:c56638-55349	2	611
gi|319430703|ref|NZ_GL622333.1|:c872499-871357	gi|319430703|ref|NZ_GL622333.1|:c872499-871357	2	611
gi|319430703|ref|NZ_GL622333.1|:c1063164-1062811	gi|319430703|ref|NZ_GL622333.1|:c1063164-1062811	2	611
gi|319430703|ref|NZ_GL622333.1|:1224004-1224825	gi|319430703|ref|NZ_GL622333.1|:1224004-1224825	2	611
gi|309806613|ref|NZ_AEHP01000040.1|:c75214-73553	gi|309806613|ref|NZ_AEHP01000040.1|:c75214-73553	2	611
gi|309807899|ref|NZ_AEHQ01000038.1|:3607-5220	gi|309807899|ref|NZ_AEHQ01000038.1|:3607-5220	2	611
gi|319430703|ref|NZ_GL622333.1|:c715732-714983	gi|319430703|ref|NZ_GL622333.1|:c715732-714983	2	611
gi|319430703|ref|NZ_GL622333.1|:501796-502071	gi|319430703|ref|NZ_GL622333.1|:501796-502071	2	611
gi|319430703|ref|NZ_GL622333.1|:c762909-761821	gi|319430703|ref|NZ_GL622333.1|:c762909-761821	2	611
gi|309808726|ref|NZ_AEHQ01000082.1|:c6338-4359	gi|309808726|ref|NZ_AEHQ01000082.1|:c6338-4359	2	611
gi|319430703|ref|NZ_GL622333.1|:c573743-572595	gi|319430703|ref|NZ_GL622333.1|:c573743-572595	2	611
gi|319430703|ref|NZ_GL622333.1|:c1069796-1068960	gi|319430703|ref|NZ_GL622333.1|:c1069796-1068960	2	611
gi|309807724|ref|NZ_AEHQ01000034.1|:c28621-27860	gi|309807724|ref|NZ_AEHQ01000034.1|:c28621-27860	2	611
gi|319430703|ref|NZ_GL622333.1|:c864408-864106	gi|319430703|ref|NZ_GL622333.1|:c864408-864106	2	611
LINAB1_0585|LINAB1_0585|phosphomevalonate	LINAB1_0585|LINAB1_0585|phosphomevalonate	2	611
gi|309806041|ref|NZ_AEHP01000013.1|:745-1776	gi|309806041|ref|NZ_AEHP01000013.1|:745-1776	2	611
gi|319430703|ref|NZ_GL622333.1|:400735-401007	gi|319430703|ref|NZ_GL622333.1|:400735-401007	2	611
gi|309808715|ref|NZ_AEHQ01000081.1|:c2122-299	gi|309808715|ref|NZ_AEHQ01000081.1|:c2122-299	2	611
gi|319430703|ref|NZ_GL622333.1|:c1054439-1054050	gi|319430703|ref|NZ_GL622333.1|:c1054439-1054050	2	611
gi|312873919|ref|NZ_AEKI01000022.1|:c84112-83054	gi|312873919|ref|NZ_AEKI01000022.1|:c84112-83054	2	611
gi|309807344|ref|NZ_AEHQ01000001.1|:7844-10516	gi|309807344|ref|NZ_AEHQ01000001.1|:7844-10516	2	611
gi|319430703|ref|NZ_GL622333.1|:c758175-757675	gi|319430703|ref|NZ_GL622333.1|:c758175-757675	2	611
gi|309805817|ref|NZ_AEHP01000001.1|:c5750-4047	gi|309805817|ref|NZ_AEHP01000001.1|:c5750-4047	2	611
gi|319430703|ref|NZ_GL622333.1|:354967-356055	gi|319430703|ref|NZ_GL622333.1|:354967-356055	2	611
gi|309807068|ref|NZ_AEHP01000057.1|:c1293-1	gi|309807068|ref|NZ_AEHP01000057.1|:c1293-1	2	611
gi|259048379|ref|NZ_GG700805.1|:191810-192061	gi|259048379|ref|NZ_GG700805.1|:191810-192061	2	611
gi|319430703|ref|NZ_GL622333.1|:c1193401-1192715	gi|319430703|ref|NZ_GL622333.1|:c1193401-1192715	2	611
gi|309809695|ref|NZ_AEHR01000020.1|:c2500-2141	gi|309809695|ref|NZ_AEHR01000020.1|:c2500-2141	2	611
gi|319430703|ref|NZ_GL622333.1|:c713061-712168	gi|319430703|ref|NZ_GL622333.1|:c713061-712168	2	611
gi|259048385|ref|NZ_GG700811.1|:c243731-243183	gi|259048385|ref|NZ_GG700811.1|:c243731-243183	2	611
gi|319430703|ref|NZ_GL622333.1|:424143-424439	gi|319430703|ref|NZ_GL622333.1|:424143-424439	2	611
gi|319430703|ref|NZ_GL622333.1|:517775-518299	gi|319430703|ref|NZ_GL622333.1|:517775-518299	2	611
gi|319430703|ref|NZ_GL622333.1|:c769922-768582	gi|319430703|ref|NZ_GL622333.1|:c769922-768582	2	611
gi|319430703|ref|NZ_GL622333.1|:410480-411253	gi|319430703|ref|NZ_GL622333.1|:410480-411253	2	611
gi|319430703|ref|NZ_GL622333.1|:c87874-87170	gi|319430703|ref|NZ_GL622333.1|:c87874-87170	2	611
gi|319430703|ref|NZ_GL622333.1|:c1124543-1123554	gi|319430703|ref|NZ_GL622333.1|:c1124543-1123554	2	611
LINAB1_0665|LINAB1_0665|HD	LINAB1_0665|LINAB1_0665|HD	2	611
LINAB1_0755|LINAB1_0755|cysteine	LINAB1_0755|LINAB1_0755|cysteine	2	611
gi|259048379|ref|NZ_GG700805.1|:c206543-205965	gi|259048379|ref|NZ_GG700805.1|:c206543-205965	2	611
gi|319430703|ref|NZ_GL622333.1|:c972552-971899	gi|319430703|ref|NZ_GL622333.1|:c972552-971899	2	611
gi|319430703|ref|NZ_GL622333.1|:c741675-739036	gi|319430703|ref|NZ_GL622333.1|:c741675-739036	2	611
gi|309806244|ref|NZ_AEHP01000023.1|:c5649-4900	gi|309806244|ref|NZ_AEHP01000023.1|:c5649-4900	2	611
gi|259048379|ref|NZ_GG700805.1|:77269-78594	gi|259048379|ref|NZ_GG700805.1|:77269-78594	2	611
gi|309805686|ref|NZ_AEHO01000032.1|:c41320-40217	gi|309805686|ref|NZ_AEHO01000032.1|:c41320-40217	2	611
gi|309809888|ref|NZ_AEHR01000027.1|:c48514-47726	gi|309809888|ref|NZ_AEHR01000027.1|:c48514-47726	2	611
gi|309808571|ref|NZ_AEHQ01000074.1|:c7967-7218	gi|309808571|ref|NZ_AEHQ01000074.1|:c7967-7218	2	611
gi|319430703|ref|NZ_GL622333.1|:c723430-722168	gi|319430703|ref|NZ_GL622333.1|:c723430-722168	2	611
gi|319430703|ref|NZ_GL622333.1|:c286807-285434	gi|319430703|ref|NZ_GL622333.1|:c286807-285434	2	611
gi|319430703|ref|NZ_GL622333.1|:287137-289731	gi|319430703|ref|NZ_GL622333.1|:287137-289731	2	611
gi|309807724|ref|NZ_AEHQ01000034.1|:c36413-35361	gi|309807724|ref|NZ_AEHQ01000034.1|:c36413-35361	2	611
gi|309804541|ref|NZ_AEHO01000007.1|:c82270-81647	gi|309804541|ref|NZ_AEHO01000007.1|:c82270-81647	2	611
gi|319430703|ref|NZ_GL622333.1|:c1065258-1064644	gi|319430703|ref|NZ_GL622333.1|:c1065258-1064644	2	611
gi|259048378|ref|NZ_GG700804.1|:c31667-30975	gi|259048378|ref|NZ_GG700804.1|:c31667-30975	2	611
gi|319430703|ref|NZ_GL622333.1|:c212969-212058	gi|319430703|ref|NZ_GL622333.1|:c212969-212058	2	611
gi|259048379|ref|NZ_GG700805.1|:182754-183545	gi|259048379|ref|NZ_GG700805.1|:182754-183545	2	611
gi|319430703|ref|NZ_GL622333.1|:c588567-587281	gi|319430703|ref|NZ_GL622333.1|:c588567-587281	2	611
